edu_name
['Empty']
['Empty']
['國立臺南大學']
['Empty']
"['Waseda University', 'University of Toronto', 'Earl Haig Secondary School']"
"['景興國小', '景興國中', '新北市能仁家商', '致遠管理學院(台灣首府大學)']"
['Empty']
"['台北市立松山高中', 'National Taipei University', '臺北大學']"
"['National Taiwan Normal University', 'National Taiwan Normal University', 'National Taiwan University', '台北市立建國高級中學']"
"['桃園縣立南崁高級中學', '南崁高中']"
['Empty']
['Empty']
['Empty']
"['東吳大學', '長榮高級中學', '長榮中學']"
"['TAFE NSW', '大漢工專']"
['國立臺灣師範大學附屬高級中學']
['Empty']
['長榮中學']
['Empty']
['Empty']
"['NTHU', '國立政治大學   National Chengchi University (NCCU)', '臺中市立文華高級中等學校']"
['Empty']
"['國立中興大學', '國立鳳山高級中學 National Feng-Shan Senior High School']"
"['中山女高', '國立清華大學National Tsing Hua University', '政治大學']"
"['台北市立南湖高中', '基隆市立銘傳國中']"
['Empty']
"['中央研究院', '台灣師大', '國立台灣師範大學', '正心中學', '正心高級中學']"
['Empty']
['Empty']
['Empty']
['Empty']
"['國立雲林科技大學', '國立台灣藝術大學應用媒體藝術研究所']"
['Empty']
['Empty']
['Empty']
['Empty']
['Empty']
"['大漢工商專校', '屏東高中']"
"['臺大醫學院生化分生所', '台北醫學大學']"
['Empty']
['Empty']
['Empty']
['Empty']
['中國文化大學']
['私立淡江大學']
['Empty']
['Empty']
['淡江大學']
['Empty']
"['Washington University in St. Louis', 'Tamkang University', '國立屏東女中', 'PTGSH']"
['國立東華大學']
"['fu shing kang college', '中正國防幹部預備學校']"
['Empty']
"['國立臺東大學', '屏東高中']"
"['高雄市立新莊高中', '高雄高商']"
"['Fu Jen Catholic University', '私立東山高中', 'Fu Jen Catholic University']"
['Empty']
"['清雲科技大學', '崑山科技大學', '桃園農工']"
['Empty']
"['高苑科技大學', '新榮高中']"
"['物理治療系', '弘光科技大學', '大明高中']"
['基隆女中']
['Empty']
['Empty']
['Empty']
['Empty']
"['逢甲大學', '立人高中']"
['Empty']
['Empty']
"['南開科技大學', '永達技術學院']"
['Empty']
"['慈濟科技大學', '慈濟科技大學', '慈濟技術學院']"
